batsman,country,total_runs,run_rate,average_score,opponent_variability,player_of_the_match,winning_contribution,run_rate_effectiveness,match_id
WU Tharanga,Sri Lanka,289,0.8328530259365994,34.5,5,1,0.2001906577693041,1.0738046259595606,1059714
TS Chisoro,Zimbabwe,297,0.8,42.42857142857143,2,1,0.28534031413612565,1.2391939607938633,1059716
SPD Smith,Australia,1089,1.0206185567010309,54.45,6,3,0.17187956737795967,1.1164827452575843,1001371
SPD Smith,Australia,1089,1.0206185567010309,54.45,6,3,0.17187956737795967,1.1164827452575843,1001373
SPD Smith,Australia,1089,1.0206185567010309,54.45,6,3,0.17187956737795967,1.1164827452575843,1001375
TWM Latham,New Zealand,799,1.10989010989011,49.9375,4,3,0.27440347071583515,1.3979702510071275,1019973
TWM Latham,New Zealand,799,1.0826558265582655,49.9375,4,3,0.27440347071583515,1.2226199084116653,1019975
Tamim Iqbal,Bangladesh,348,0.9285714285714286,46.833333333333336,3,1,0.2838018741633199,1.3758738658337053,1019977
TM Head,Australia,1089,1.1871657754010696,54.45,6,3,0.17187956737795967,1.368914682048197,1000887
JJ Roy,England,675,1.366412213740458,75.0,4,2,0.185589519650655,1.5416647908882186,1034819
UT Khawaja,Australia,1089,1.1871657754010696,54.45,6,3,0.17187956737795967,1.368914682048197,1000889
V Kohli,India,594,1.2650602409638554,74.25,3,2,0.24286513710128707,1.4577373041410184,1034821
Shoaib Malik,Pakistan,480,1.34765625,48.0,5,2,0.23002754820936638,1.378183430045132,1000891
MM Ali,England,418,1.366412213740458,41.8,4,1,0.13100436681222707,1.5416647908882186,1034823
SM Sharif,Scotland,225,1.0362694300518134,75.0,2,0,0.2819548872180451,1.1622320048826729,1078659
UT Khawaja,Australia,1089,1.1871657754010696,54.45,6,3,0.17187956737795967,1.368914682048197,1000893
RD Berrington,Scotland,225,1.0362694300518134,75.0,2,0,0.2819548872180451,1.1622320048826729,1078660
Waqas Khan,Hong Kong,212,0.7900552486187845,53.0,2,2,0.35697940503432496,1.2489410389989777,1078661
TM Head,Australia,1089,1.1871657754010696,82.0,6,3,0.17187956737795967,1.368914682048197,1000895
WU Tharanga,Sri Lanka,371,0.866822429906542,44.75,5,2,0.1909307875894988,1.050525567460519,936159
TWM Latham,New Zealand,799,1.0826558265582655,49.9375,4,3,0.27440347071583515,1.2226199084116653,1020013
Q de Kock,South Africa,748,1.3018867924528301,46.75,5,2,0.20507334963325183,1.328943119435346,936161
WU Tharanga,Sri Lanka,371,0.867816091954023,44.75,5,2,0.1909307875894988,1.4521971079601292,936163
TWM Latham,New Zealand,522,1.10989010989011,37.285714285714285,4,1,0.13449023861171366,1.3979702510071275,1020017
Q de Kock,South Africa,748,1.0080862533692723,46.75,5,2,0.20507334963325183,1.0769575279482093,936165
Q de Kock,South Africa,748,1.0080862533692723,46.75,5,2,0.20507334963325183,1.0769575279482093,936167
Rashid Khan,Afghanistan,199,1.0888888888888888,33.166666666666664,2,1,0.18664643399089528,1.5382498735457764,1079247
